word,Anxious,Depressed,Happy,Introvert,Stable,bio_frequency,km_half_life_days,lognormal_half_life_days,lognormal_mu,lognormal_sigma,prev1,prev2,unique_users
0,42.43430158637946,37.78895196863182,46.06495192253157,40.86482587588272,44.58200834757185,2329.0,130.0,121.25,4.797888,2.024905,13.833171946327292,16.71549466518499,2002.0
0-0,11.23041001522857,48.63813499316094,55.82889111970402,24.61784156404086,47.86539560230184,54.0,15.0,25.38,3.234016,1.679108,0.0913511354946142,0.2409020616553857,40.0
0-1,36.94347868327088,50.70248391794596,61.48697353092677,46.57466559516896,60.97526437172095,47.0,14.0,19.32,2.961015,2.056278,0.0391504866405489,0.0777103424694792,40.0
00,34.98991100557844,33.91096160813238,78.63030727133109,56.910752335592285,74.43066821788008,540.0,280.0,281.21,5.6391,2.244225,3.1189887690303992,3.4425681713979315,468.0
000,33.12787447829114,31.35625064963653,76.48172601122644,64.98520483065346,76.71053112811104,1908.0,573.0,535.01,6.282279,2.291022,5.702920887306629,8.680245253840834,1605.0
007,43.920748765595775,46.20788452201581,54.96914118720917,50.10711973864625,53.61048420788962,57.0,389.0,358.75,5.882613,2.193386,0.5220064885406526,0.3652386096065525,49.0
00am,22.56003331042252,28.080768417448297,92.38788224255592,76.22529646922094,92.6557038169533,60.0,397.0,320.74,5.770619,1.970536,0.5872572996082341,0.2797572328901253,56.0
00pm,26.799299790170828,30.50382730434293,86.19086860753062,55.31188442509856,87.74784980200512,120.0,231.0,178.71,5.185788,2.084054,0.6003074618217504,0.4818041233107714,103.0
01,61.67626259066898,49.418465333922526,48.73627122024646,39.59002192115021,37.02333165548387,677.0,103.0,133.34,4.892897,2.208193,4.4892558014496124,5.175508808467319,570.0
02,60.81523537443334,53.84964655624949,45.27724782003549,38.429008984573,38.49249329600086,610.0,110.0,140.11,4.942403,2.347419,3.9280988262684096,5.0589432947631,539.0
03,56.34117725469629,49.36589501435124,45.33022022670074,35.85572431963979,40.648140538350944,734.0,135.0,146.83,4.989284,2.305376,4.202152232752253,5.20659294545511,614.0
04,60.47791982816088,51.06477805731485,50.414010785632776,38.78491736781526,41.94237678291994,683.0,158.0,167.51,5.121038,2.282586,4.959061641136199,4.856896404342454,592.0
05,59.23506633839857,48.601236247073146,50.7089651770261,38.83779054059432,45.33323313405591,703.0,170.0,196.16,5.278913,2.329318,4.7241587212929055,5.742794308494518,618.0
06,59.619068214437,51.390924499870216,49.60868574944684,38.87800843679404,47.30214693635027,844.0,150.0,168.78,5.128621,2.241485,5.5985195895984985,6.659776349634373,726.0
07,56.113025940437744,48.76458381621255,49.62458664152622,38.30905697841038,45.99218814813907,850.0,157.0,165.83,5.11096,2.222648,5.585469427384982,5.758336376988414,730.0
08,54.18440841058123,47.21349356578801,50.36366278926299,39.35788037436044,47.84528432268317,1085.0,144.0,164.66,5.10389,2.097833,7.29504067735562,6.177972226323601,892.0
09,59.78427835475226,51.68166788362257,47.5656908461043,41.43009504705286,46.291089650905946,1285.0,173.0,184.86,5.219601,2.176116,8.691408034201865,6.830739103067227,1073.0
1-0,40.75746160058485,45.91290582726899,53.00224643478118,37.10620251319563,60.18358721604427,131.0,11.0,17.37,2.85492,1.793532,0.1174514599216468,0.2875282671370732,104.0
1-1,43.40408680256471,43.883059586922045,71.1428842389118,61.44389944262687,57.55845951600583,89.0,8.0,11.65,2.455047,1.60805,0.1435517843486794,0.2175889589145419,69.0
1-10,30.163154151733035,40.37523548800029,55.15828523808841,48.70985936039985,58.76577699147275,43.0,260.0,208.29,5.338952,1.465625,0.1566019465621957,0.1321075821981147,40.0
1-2,37.78576450486859,35.62370262320484,60.60316157085596,50.29767743916962,61.45902800095331,136.0,67.0,71.13,4.26449,2.106974,0.5742071373947178,0.5128882602985632,124.0
1-3,31.88763151881323,29.620980420563065,61.11784169547504,50.73638357037995,53.0255507218474,167.0,113.0,107.59,4.678322,1.969729,0.5220064885406526,0.629453774002782,148.0
1-4,34.19421332602345,27.66977016663902,66.95418883215012,63.11793792955272,61.98712859328743,86.0,125.0,112.08,4.719205,1.699437,0.3132038931243915,0.3030703356309691,77.0
1-5,28.06561269906326,30.0287980893972,44.111866368867,46.25255039333136,54.647335114862585,77.0,79.0,78.13,4.35841,1.892406,0.2218527576297773,0.1709627534328544,71.0
1-6,46.54107422175268,47.62139490138198,75.05224404991861,42.93706690639733,66.1612442215766,49.0,264.0,165.14,5.106812,1.846519,0.2349029198432936,0.2331310274084378,46.0
1-800-273-8255,61.80059697397873,58.802327216689946,30.93287393483648,42.769220020353856,46.77074947252448,39.0,98.0,93.21,4.534857,1.797123,0.0913511354946142,0.5128882602985632,36.0
10-0,40.37050561167006,46.48956010099064,49.39856694048806,37.56616964285645,80.56709405130216,34.0,56.0,37.21,3.616597,1.633625,0.0130501622135163,0.0310841369877917,34.0
10-1,21.04440740902213,24.025814742114243,32.40017581416636,18.828338886297203,47.16107950234807,38.0,13.0,29.29,3.377212,1.853369,0.0652508110675815,0.0777103424694792,38.0
10-11,42.8616959307367,34.81657373169171,81.42985501015887,44.3173193425236,73.50819596611338,44.0,138.0,102.27,4.627633,1.879558,0.1827022709892284,0.1243365479511668,42.0
10-12,1.408634303219986,2.730137270525246,81.05346875884828,57.66372548757485,70.61839234775077,69.0,153.0,109.65,4.697314,1.885189,0.1827022709892284,0.0621682739755834,65.0
10-2,45.77292621619917,33.18611841388985,58.99070944292304,48.834322740099736,59.64874087057147,54.0,153.0,125.27,4.830447,1.975351,0.1044012977081305,0.0699393082225313,51.0
10-3,16.680075869470844,14.849687824372433,53.50322306587063,22.601891255899197,57.33628550069789,36.0,156.0,97.17,4.576483,1.785105,0.0913511354946142,0.0777103424694792,32.0
10-5,56.66926186220839,58.68875987116083,60.48199405968766,29.722512714421637,82.11127399517146,35.0,14.0,27.51,3.314681,2.201166,0.0261003244270326,0.0233131027408437,30.0
10-6,40.13498904572855,48.0197692438084,52.97548060570577,21.261190890365043,69.03166881314266,33.0,28.0,35.94,3.581819,1.930748,0.0130501622135163,0.0310841369877917,32.0
10-noon,15.124640091039575,17.5857648953592,67.793559918726,50.55005743092421,73.4592899694869,39.0,246.0,307.05,5.72701,1.323585,0.0913511354946142,0.0310841369877917,34.0
10-year,20.83950127657724,25.606451599203435,59.26122113363067,61.066520812611536,66.5344939902528,40.0,168.0,130.91,4.874543,1.961493,0.1827022709892284,0.0777103424694792,38.0
100,44.02914953592475,45.54591423361678,55.16485172277592,51.34118287669936,59.1304537694022,4296.0,238.0,229.5,5.435889,2.155531,22.876934360294097,22.124134501060745,3920.0
1000,43.32078365115491,46.99783549461673,58.27064477575811,47.26322919098257,63.931890336792094,310.0,209.0,205.03,5.323133,2.111373,1.4877184923408595,1.5542068493895853,290.0
100k,33.65885441072408,36.80868713743275,52.4853944074471,53.41800946071634,66.87272916554635,122.0,125.0,116.26,4.755844,1.648858,0.2610032442703263,0.6061406712619383,118.0
100m,37.4247647396338,26.22614140260165,47.17811476576886,30.89023469834502,49.87886294219655,43.0,337.0,300.41,5.70514,1.754131,0.169652108775712,0.3263834383718129,40.0
101,37.10026296621035,39.90231915162429,67.67264777065249,40.0443671035462,71.5670569371996,460.0,401.0,360.72,5.888114,2.211541,2.2576780629383224,1.6241461576121166,419.0
1017,64.83623189152857,61.1987669802547,36.35162628463122,21.72155274764834,31.019405304213983,90.0,59.0,59.83,4.091451,1.754073,0.5350566507541689,0.2797572328901253,68.0
102,31.510108293224626,32.53876406712368,69.4248374697373,40.72879780475618,72.12600336045985,296.0,391.0,391.34,5.969575,2.010828,1.4355178434867946,0.9092110068929072,265.0
103,33.54053429969349,28.755623903896264,67.03635440865932,28.89503097333832,68.58271525831812,303.0,316.0,290.98,5.67324,2.052904,1.1745145992164685,0.8159585959295322,267.0
104,28.919361809529757,27.67516059229497,68.77379043954286,34.384658895757354,74.51611746413779,320.0,594.0,492.74,6.199984,1.876913,1.500768654554376,1.0102344521032305,282.0
105,30.420182113349306,30.91285095939178,69.88288558699318,35.3900603988933,73.80735030133748,342.0,493.0,429.39,6.062362,2.041143,1.500768654554376,1.0102344521032305,294.0
106,37.65550345504869,37.68394147633977,66.37508189334612,37.3305004629872,72.67541862326765,287.0,450.0,407.24,6.009391,2.063351,1.4224676812732782,0.9169820411398552,259.0
107,31.300407692602327,32.3834996873229,69.34879396540686,31.152985252066262,71.58720036144383,318.0,401.0,422.11,6.045263,1.971915,1.409417519059762,1.2278234110177724,277.0
108,21.19227762247235,27.85593893066576,55.062169212199805,29.431981508358472,65.00904692512594,78.0,179.0,135.81,4.911232,2.097754,0.3001537309108752,0.2486730959023336,70.0
109,45.7991301732004,45.35788692876721,60.32013680131978,49.06758958723672,80.32267921836535,55.0,66.0,76.66,4.339404,2.058794,0.1305016221351631,0.1942758561736981,51.0
10a,25.518031556532797,32.32435687136068,74.03194054869698,40.46710479393255,72.361440357082,40.0,308.0,332.52,5.806691,1.590008,0.1566019465621957,0.2642151643962295,38.0
10a-12p,14.681761028440448,15.913348503858437,58.235912348222506,31.484730680204954,68.82259240183575,36.0,388.0,372.89,5.921293,1.123833,0.1044012977081305,0.0310841369877917,33.0
10a-2p,32.34832287414845,32.152841756748366,47.60027296786777,35.88542877205396,55.30882467187288,53.0,509.0,381.23,5.943414,1.448119,0.2871035686973589,0.1321075821981147,51.0
10a-3p,19.670283401460143,32.75287804518582,72.13317469455146,28.43379823366199,71.36625527939285,65.0,351.0,336.03,5.817204,1.609198,0.3523543797649405,0.1321075821981147,57.0
10am,19.778864554969143,25.610630368413577,82.41903602253744,46.93370971992443,78.42084776872527,179.0,250.0,265.7,5.582356,1.699316,0.7569094083839462,0.6916220479783655,164.0
10am-2pm,35.54632444834447,37.2396632634504,68.96597486304418,29.74536983406263,67.15489622422403,53.0,274.0,309.88,5.736172,1.37202,0.1305016221351631,0.0854813767164272,49.0
10am-3pm,27.96551543190797,28.551753518086983,67.55868610784643,27.97229162125106,74.43768395006646,38.0,495.0,577.0,6.357841,1.4833,0.169652108775712,0.101023445210323,34.0
10k,41.118889057546944,41.22017104772615,66.5201083859232,66.00124357900901,71.8504887593743,136.0,122.0,114.96,4.744575,1.80172,0.5872572996082341,0.955837212374595,132.0
10p,31.924171310741368,27.34359160854191,74.87995759382294,45.5067126136403,62.87105851154497,66.0,259.0,234.33,5.456728,1.884489,0.1957524332027447,0.0932524109633751,60.0
10pm,25.21071944267863,31.198493912985835,76.39717135522066,43.591982818497314,72.67157116646256,321.0,221.0,210.22,5.348132,1.729752,1.0701133015083375,0.8004165274356364,273.0
10th,42.49667918519911,43.53543324371325,69.47122827496169,52.47107281074421,66.9852476427801,469.0,105.0,105.47,4.658434,1.776884,1.813972547678768,1.3210758219811474,437.0
10x,35.34526073797672,36.35188871005912,62.974039164850936,54.37481222318271,74.85737758631628,173.0,210.0,175.85,5.169605,1.722369,0.7960598950244951,0.7149351507192092,162.0
10yrs,44.60728310722972,57.91574190242618,69.41326758667287,66.09922186211523,76.35507781028473,46.0,305.0,282.69,5.644354,1.576957,0.1827022709892284,0.1554206849389585,44.0
11,52.12584489015804,43.986392970380514,49.67262738463254,39.78928366992906,48.43198700874079,7503.0,139.0,138.22,4.928877,2.053567,47.64614224154806,40.487088426598696,6136.0
11-1,26.713581411772324,9.77240470022095,24.74545698210781,43.98935797104664,44.70402110929888,47.0,92.0,57.67,4.05477,1.843997,0.0783009732810978,0.0310841369877917,43.0
11-12,42.05665899239,33.53377140284785,67.04269033348751,62.40068167714655,70.97762913803766,64.0,249.0,206.84,5.331955,1.713682,0.2610032442703263,0.202046890420646,61.0
11-13,37.765264540715656,20.87923057871235,67.51308255276709,54.19610395971477,66.66464072331024,56.0,106.0,98.93,4.594445,1.984571,0.3654045419784568,0.1942758561736981,52.0
11-14,33.96193835152758,25.40481400031084,60.69279389620951,67.6145001107829,53.89214163509399,33.0,114.0,95.42,4.558237,1.953329,0.0913511354946142,0.0854813767164272,32.0
11-2,15.513349754454076,9.661147344220389,65.61246249326688,32.47748193388812,69.17864225821833,42.0,40.0,47.46,3.859807,1.802956,0.0652508110675815,0.0388551712347396,37.0
11-time,30.16246165557236,22.47840471312334,94.47345209561986,61.89522817336931,91.79961443712163,32.0,342.0,375.08,5.927137,1.25581,0.0391504866405489,0.0777103424694792,31.0
110,40.52855114374156,40.37350908226915,64.13242383344215,47.83679056147601,61.1457562445638,191.0,153.0,161.36,5.083614,1.821947,0.7830097328109789,0.8858979041520636,180.0
1100,27.152377567821816,37.604191265189804,67.58640642210352,36.61704464846344,70.11405184311307,38.0,580.0,456.22,6.122981,1.764314,0.1566019465621957,0.1942758561736981,37.0
111,59.14148068323416,48.06372808663864,80.60207500781938,57.5414828642955,80.78704666408281,68.0,69.0,94.36,4.547151,2.150485,0.2479530820568099,0.4740330890638235,63.0
112,39.460937803417565,30.71134043708974,57.33866038144032,33.91795967584987,63.16791861498228,82.0,81.0,94.68,4.550542,1.81099,0.1305016221351631,0.2642151643962295,66.0
113,51.00297433451707,46.41585460029237,67.20698149496329,39.8651058193792,67.86527476198047,61.0,172.0,83.86,4.429174,2.046131,0.1305016221351631,0.1787337876798023,52.0
114,40.0831667329616,30.90950035307743,78.21086867632042,53.88215184796466,79.2785231820045,55.0,140.0,115.59,4.75005,2.018685,0.169652108775712,0.1321075821981147,51.0
115,36.98358337763995,39.02903683979777,83.61107347412154,53.59475442246078,85.84021982043232,124.0,143.0,117.86,4.769505,1.960285,0.3132038931243915,0.3496965411126567,105.0
116,46.71270002827257,45.10785994671318,51.36728990421374,44.52236284269849,59.34034439386847,90.0,103.0,99.62,4.601326,2.423066,0.874360868305593,0.3574675753596046,77.0
117,41.69693435745929,54.049109078696524,45.41520891526134,57.38742128460913,56.8921522475501,58.0,80.0,77.98,4.356506,2.188582,0.208802595416261,0.1165655137042189,52.0
118,51.37391826797235,38.7873131553938,49.25649832920129,42.95766260749022,51.79518669347323,97.0,159.0,142.1,4.956556,2.10962,0.6525081106758157,0.6061406712619383,96.0
119,38.0279290637625,34.89106793436011,45.02613182240288,43.15231964508049,51.60882955073382,71.0,312.0,191.93,5.257109,2.242512,0.456755677473071,0.4040937808412921,67.0
11am,22.493391061058745,23.178606831022385,88.07917502856012,60.59741494944685,89.66935657850163,137.0,345.0,303.9,5.716709,1.71927,0.9526618415866908,0.419635849335188,129.0
11pm,34.287599629144985,30.99898242927679,80.27991440851105,69.05420651699819,70.99971051136882,197.0,377.0,308.97,5.733248,1.878166,0.7177589217433973,0.6139117055088862,167.0
11th,39.87213078050444,39.43435513509173,66.75725621623855,54.59474763443466,65.5685196538871,346.0,88.0,91.09,4.511886,1.979222,1.2006149236435009,0.738248253460053,319.0
11x,34.63256649860832,26.74192911944924,76.36887438338094,30.79791450288726,83.37606599182693,99.0,351.0,256.84,5.548462,1.680093,0.169652108775712,0.3030703356309691,98.0
12-13,32.49161609957564,28.379796989352755,54.73909624227507,42.6496679698489,54.5139192903099,62.0,126.0,92.19,4.523806,1.516816,0.1435517843486794,0.1087944794572709,57.0
12-14,43.44695126369547,42.84026581520354,65.9940818705057,48.50866336808812,78.67841744760528,52.0,207.0,119.27,4.78136,1.815894,0.1044012977081305,0.1243365479511668,51.0
12-2,31.21059139929765,33.512130311612985,35.71850838913358,32.79846772109334,32.278157236774064,54.0,83.0,67.34,4.209696,1.82949,0.1305016221351631,0.0388551712347396,50.0
12-3,38.33558789035128,45.93137814459687,72.48809563467292,44.07556717120607,66.90659674222121,62.0,155.0,134.89,4.904466,2.010537,0.1957524332027447,0.0932524109633751,53.0
12-3pm,23.61359115219584,29.55695154873897,78.00031960530673,32.924177645172435,76.48364063799332,38.0,341.0,280.47,5.636453,1.798185,0.1174514599216468,0.0932524109633751,34.0
12-4,40.89549450969569,40.906409716139954,74.25034340467573,29.23982832498248,59.43625381194156,37.0,38.0,37.4,3.621794,1.743855,0.0783009732810978,0.0310841369877917,32.0
120,44.228991190719015,41.01596140388748,59.18161189337391,38.24795811252029,62.96773930906294,181.0,208.0,174.38,5.161215,1.911603,0.6133576240352667,0.6139117055088862,169.0
1200,25.43500213226619,26.99148324169987,87.48357910224316,45.774750419246345,62.35036134040368,37.0,132.0,199.71,5.296871,1.778324,0.2479530820568099,0.202046890420646,36.0
121,48.57839095898804,43.24771772153032,51.33374570563175,50.991041397982265,56.81078491606737,67.0,227.0,204.76,5.32184,2.182027,0.3262540553379078,0.4040937808412921,63.0
122,34.28830678195519,36.3530790247648,51.07221241418088,61.8807240139179,48.042582194168446,41.0,94.0,90.74,4.507993,2.524851,0.169652108775712,0.1398786164450626,38.0
123,43.461426234694926,43.644524107212014,53.92650969989236,46.70113507017589,46.375049387035446,63.0,67.0,93.39,4.536786,2.581678,0.1566019465621957,0.3186124041248649,62.0
124,41.05911614350729,48.93135126637526,48.59623741697652,54.55001953918074,49.61299623223155,50.0,225.0,189.08,5.242177,2.268979,0.1827022709892284,0.1398786164450626,46.0
125,33.37591624882084,26.567858456063792,73.91811639578654,54.506551498412136,67.959070690671,148.0,313.0,208.72,5.341001,2.003161,0.4828560019001036,0.4118648150882401,139.0
126,41.42354157175711,34.99603476965885,49.29258065756847,44.835318548366345,45.59297969197797,55.0,128.0,100.21,4.607308,2.227467,0.169652108775712,0.1476496506920106,50.0
127,59.71468257487212,46.001340609850274,40.66581127267452,57.35314645189358,41.86050475655372,53.0,172.0,108.16,4.683623,2.28741,0.169652108775712,0.2952993013840212,48.0
128,34.6253561748901,35.853674484286735,56.83910430701113,69.62550520664423,50.66566163577796,50.0,246.0,143.99,4.969765,2.325563,0.1566019465621957,0.1476496506920106,49.0
129,17.882997119560294,16.780024000291903,50.11225680110354,59.97847757098822,57.04701229781818,32.0,73.0,68.91,4.232832,2.189406,0.1044012977081305,0.0699393082225313,32.0
12am,20.93827741419011,28.3227757036158,72.70649228764381,27.502472190304484,65.87114351850218,50.0,167.0,185.16,5.221194,1.72358,0.2610032442703263,0.1321075821981147,43.0
12k,40.24039403553395,49.6237479291059,80.91546550565933,77.01050290645173,42.24647858667207,32.0,60.0,77.09,4.34503,1.617845,0.0652508110675815,0.2331310274084378,31.0
12pm,32.840140059133525,38.76270821356817,71.5685173614686,50.23202161109458,80.82269070209513,105.0,172.0,143.5,4.966326,1.92556,0.3001537309108752,0.2797572328901253,98.0
12th,35.97672073989365,33.61078325963022,65.35124389245662,48.01086281914655,67.6228013553159,411.0,133.0,135.59,4.909663,2.005859,1.748721736611186,1.1889682397830328,380.0
12x,36.822521634588576,33.51321598643613,82.35214601076767,61.45293215389322,86.50345256288963,81.0,217.0,189.19,5.242738,2.056925,0.1174514599216468,0.2564441301492816,74.0
13,47.12572142397492,39.11213721208804,49.73546582792287,37.80677170722796,50.56511972054497,8435.0,140.0,142.59,4.959985,1.98796,62.92788219357567,35.88663615240552,6798.0
13-14,37.099420534219306,31.27067567463988,49.87888559698236,46.29431174585711,57.37403306280815,70.0,189.0,144.36,4.9723,1.854203,0.6394579484622994,0.4040937808412921,67.0
13-15,26.46304752872886,22.42208797243982,64.82045324494186,50.086473306786814,78.38875892018012,49.0,178.0,107.91,4.681342,1.690357,0.1435517843486794,0.0699393082225313,46.0
130,31.607071981936706,23.69070978781853,65.36313616695026,59.78636116687465,64.60879074127271,136.0,245.0,183.21,5.210627,2.042737,0.2349029198432936,0.4351779178290839,132.0
1300,35.74669691088216,43.450032965488624,60.47509658325743,34.9731691022287,61.674684552494405,49.0,201.0,188.91,5.241253,2.325568,0.0783009732810978,0.2409020616553857,43.0
1312,63.447366974308615,76.90352269945585,38.38799516446818,20.33005836493388,35.96087097087724,64.0,218.0,251.38,5.526956,2.16596,0.0391504866405489,1.3366178904750434,55.0
1320,44.24051739951015,44.326030949184045,75.36700007625612,46.780733794894346,81.23511351745756,35.0,335.0,322.3,5.775469,1.534803,0.1435517843486794,0.0621682739755834,34.0
133,43.87142186958806,33.49576306368661,70.91366233874942,49.41875152131247,59.34961323840388,36.0,206.0,189.29,5.243276,2.329106,0.1827022709892284,0.0932524109633751,33.0
134,48.82967293780703,49.818865794725234,82.60648434982024,62.14395088625596,61.08920874500544,37.0,202.0,113.72,4.733716,2.155371,0.0391504866405489,0.1476496506920106,34.0
135,40.473094557471526,36.44913809509678,49.58844046359776,38.6278877632802,70.79321435734435,78.0,139.0,144.35,4.97221,2.218859,0.1435517843486794,0.2331310274084378,70.0
138,49.37307957130326,39.198926507478575,34.920800305837325,54.28146100700473,37.31337428278007,37.0,86.0,95.76,4.561833,2.082555,0.2218527576297773,0.1942758561736981,34.0
139,56.605208349755095,44.47155634635529,44.96594358262558,44.28092634338607,45.9185084645506,76.0,179.0,179.16,5.188287,1.800453,0.704708759529881,0.4973461918046672,69.0
13th,50.75312326359023,47.239112544580905,57.872685023687154,55.07600463625323,58.19571902278051,333.0,73.0,82.38,4.411384,1.790297,1.0962136259353703,1.0180054863501784,310.0
13x,22.638764639498955,16.944651316396858,60.40515578512573,37.23503020514685,61.85737850960136,58.0,142.0,115.99,4.753471,1.716226,0.1305016221351631,0.1321075821981147,56.0
14,49.028529401211685,43.185132576854784,46.2888030182846,36.698765883939565,42.16049474745315,6812.0,135.0,130.05,4.867951,1.906623,52.03099674528954,25.185921994358228,5597.0
14-15,38.112544680659,27.454838807814053,61.05782055206437,37.85786920355271,54.49675200513122,53.0,190.0,179.18,5.188411,1.721444,0.2218527576297773,0.1243365479511668,49.0
14-16,23.73497253989358,18.39949346897419,51.190900302913846,48.29599606733982,49.05831867979644,50.0,193.0,142.88,4.961976,1.617749,0.2479530820568099,0.1165655137042189,42.0
140,47.69115969293718,52.04562968868481,48.47192171833308,56.686160956427344,50.18381089145792,972.0,212.0,195.08,5.273402,1.877942,7.621294732693527,1.577519952130429,935.0
1400,40.91569836374627,48.45040746221712,76.33993463597164,35.098721882544204,78.41253870185501,47.0,333.0,312.57,5.744814,2.103171,0.1827022709892284,0.4429489520760318,44.0
141,49.78718786728471,54.14868056320007,58.05609557679361,58.37279827122121,60.00272902888567,39.0,214.0,135.36,4.907967,2.000723,0.208802595416261,0.1476496506920106,38.0
143,51.160557914078495,45.12052626112816,54.66745173884981,44.031637661452685,53.85481640929156,57.0,101.0,99.73,4.602472,2.023221,0.4045550286190057,0.3496965411126567,56.0
144,44.00456604610797,34.98349298887445,56.8181737593943,41.737334049394434,52.910938168530464,49.0,375.0,298.43,5.698549,2.29111,0.3654045419784568,0.209817924667594,46.0
145,48.68734402592594,41.971593836629175,63.67031549804248,57.074280007825095,70.6702459153334,71.0,62.0,81.18,4.396666,2.419003,0.2349029198432936,0.2331310274084378,61.0
147,62.149884075043495,53.34365936369102,42.63790582549544,53.03722836837225,42.0975960232867,34.0,73.0,66.43,4.196077,2.332563,0.2479530820568099,0.2797572328901253,33.0
14k,28.044975100821745,37.88771802276968,58.60428790258268,50.87439654066805,44.74024921789185,31.0,87.0,63.27,4.147375,1.52766,0.1044012977081305,0.1865048219267502,31.0
14th,44.30302106707133,40.57557979719488,60.432331812631965,52.921303205428806,56.62274191120829,273.0,75.0,77.58,4.35127,1.624779,0.5742071373947178,0.7071641164722613,251.0
14u,19.203308383419166,8.33808390470785,76.27016176968755,35.982089411040775,80.88242143695588,43.0,219.0,141.34,4.951165,1.744843,0.1566019465621957,0.1865048219267502,37.0
14x,31.838413244969157,22.78801912824477,41.78340086840128,41.60640914293865,58.47311106016938,51.0,223.0,161.73,5.085918,1.948377,0.1044012977081305,0.1398786164450626,47.0
15-16,48.37672487092432,41.85402209881885,58.85889412266736,46.46377190677538,55.6819315495123,42.0,221.0,157.97,5.062417,1.620806,0.456755677473071,0.1709627534328544,40.0
15-17,29.390355631060984,25.702185796720784,52.781541277389564,42.48650505041856,45.47054615887727,34.0,173.0,114.71,4.742393,1.723345,0.1566019465621957,0.1243365479511668,32.0
150,34.98249456913819,29.86586274391595,57.86270446471092,39.51470165143007,57.66865545357688,311.0,284.0,236.62,5.466451,2.184744,0.7438592461704299,1.2822206507464078,295.0
1500,32.52441814238962,43.891219232470334,63.57921465215066,47.08499403424906,64.33914892634371,55.0,282.0,293.41,5.681572,1.919454,0.4306553530460383,0.2797572328901253,54.0
155,37.87471786938244,22.683062180781704,67.98899526101033,43.52728559592748,79.21735465525721,37.0,149.0,129.64,4.864757,1.802849,0.1044012977081305,0.202046890420646,35.0
156,23.846258674626043,26.57818088569198,91.51895171244256,73.29011922417192,91.1163408261212,30.0,95.0,106.15,4.664873,2.328803,0.0522006488540652,0.0932524109633751,30.0
15k,47.1841315350583,44.62645939887236,64.14086431431171,50.73652328031163,70.17026189795233,44.0,93.0,69.09,4.235355,1.601352,0.1435517843486794,0.1398786164450626,43.0
15th,49.14069338118536,37.65769962940033,63.45473442349435,51.04892320793597,60.358727197476014,324.0,65.0,66.66,4.199602,1.688058,0.6786084351028483,0.5750565342741465,303.0
15u,14.441230055688145,4.113355205493709,78.2976078114768,42.98066332429782,86.21984112482848,66.0,240.0,229.95,5.437851,1.181543,0.2740534064838426,0.2952993013840212,58.0
15x,33.87691234696732,35.37275419037111,85.62489003188496,45.722360389172735,91.10613978984506,50.0,247.0,160.02,5.075324,1.449754,0.1957524332027447,0.202046890420646,50.0
15yrs,50.93733422701898,41.77922836762342,79.1239974193685,70.6999454519529,86.13469744321371,43.0,219.0,171.7,5.145737,1.298252,0.169652108775712,0.1321075821981147,41.0
16-17,47.857056894628464,28.08175922451354,47.38662777955179,40.76374961466549,45.24732657018348,65.0,93.0,111.27,4.711984,1.53318,0.3393042175514241,0.1787337876798023,60.0
16-18,46.324514271140046,31.302254636798143,60.47837888686482,46.74912858492351,64.13503275374724,79.0,163.0,110.62,4.706112,1.665154,0.3001537309108752,0.1942758561736981,67.0
160,41.54193923834636,42.94882959201525,48.04193257836891,61.68675902050108,48.50185852421911,631.0,137.0,144.16,4.970905,1.99333,2.688333415984361,1.173426171289137,611.0
1600,54.53080488587033,54.62417900207888,44.15620892389831,31.779659849935467,49.53716649394565,35.0,171.0,154.71,5.04154,1.674821,0.169652108775712,0.2253599931614898,31.0
161,48.54283825199047,49.68453596405439,61.90425481175319,55.8777844202297,64.65039166445911,36.0,87.0,80.28,4.385492,2.216738,0.0522006488540652,0.1631917191859064,32.0
165,30.35613064845962,18.10991081150381,60.34256523737847,46.51009200694354,59.301162926102094,50.0,197.0,180.56,5.196052,2.344517,0.2218527576297773,0.2719861986431774,50.0
16th,39.64340112817734,34.30396553139149,68.41555854094796,47.11319128580567,64.12341581130015,271.0,61.0,69.53,4.241773,1.78254,0.4828560019001036,0.6449958424966779,247.0
16u,23.17229775932608,7.821506321225911,70.5393084992892,33.33638346409175,82.92184815036443,103.0,255.0,234.07,5.455639,1.22933,0.2479530820568099,0.6527668767436258,89.0
16x,23.307951363785676,23.885704349114057,76.96632522270222,30.5559255089857,76.47651944334086,52.0,328.0,230.41,5.439851,1.985871,0.1044012977081305,0.2253599931614898,49.0
16yrs,51.79034898172888,44.44306695137176,68.04747979283242,73.32278304090907,40.79263597373144,43.0,127.0,97.23,4.57704,1.774235,0.1044012977081305,0.0777103424694792,41.0
17,54.493383161435226,49.54951480572237,41.14373881967512,34.54978879946252,32.5811719709713,10205.0,145.0,127.01,4.844234,1.723631,70.7188290350449,49.06631023522921,8197.0
17-18,58.59809334692413,44.03010180148137,63.3478471791902,47.5820307262932,62.293812112398925,43.0,156.0,183.1,5.210007,1.822731,0.1435517843486794,0.3574675753596046,40.0
17-19,37.44154946511959,24.320007805189118,88.85052968070718,41.02824732096025,75.67440125268969,55.0,190.0,134.23,4.899572,1.375718,0.0391504866405489,0.1865048219267502,44.0
170,36.35051661347384,20.052832165396456,56.14069045917912,39.87990119059226,65.27124886088619,66.0,144.0,108.57,4.687389,1.788431,0.0913511354946142,0.4507199863229797,61.0
